título,dificuldade,area,matriculados,plataforma,tipo
B Com Accountancy I (Paper ECO 02 IGNOU),All Levels,Business Finance,2946,Udemy,
FOREX TRADING - Learn in a quick + profitable way + support,All Levels,Business Finance,271,Udemy,
Auditing Basics (Professional Course Level),All Levels,Business Finance,3771,Udemy,
Stock market Investing Encyclopedia: How to invest in stocks,Intermediate Level,Business Finance,3143,Udemy,
Learn the basics of preparing accounting statements,Intermediate Level,Business Finance,1951,Udemy,
Elliott Wave -Forex Trading With The Elliott Wave Theory,Expert Level,Business Finance,4022,Udemy,
Corporate Finance - A Brief Introduction,Beginner Level,Business Finance,11724,Udemy,
Excel functions to analyze and visualize data,Intermediate Level,Business Finance,2283,Udemy,
Building Financial Statements in Excel,Beginner Level,Business Finance,1181,Udemy,
Transfer Pricing A Complete Analysis,All Levels,Business Finance,1852,Udemy,
Accounting: Get Hired Without Work Experience,All Levels,Business Finance,4661,Udemy,
Forex Trading for Beginners - Basics,All Levels,Business Finance,989,Udemy,
Basic Bookkeeping Hacks,All Levels,Business Finance,5841,Udemy,
Complete Trading Plan Course for Stocks & Forex (10 Hours),All Levels,Business Finance,1087,Udemy,
"Forex Trading with Fixed 'Risk through Options Trading""",Beginner Level,Business Finance,611,Udemy,
"Intro to Investment Banking, M&A, IPO, Modeling + Free Book",All Levels,Business Finance,1922,Udemy,
How to Pick The Right Penny Stocks To Invest In 2017,All Levels,Business Finance,9015,Udemy,
Top 10 Trading Ideas in the Equities Market,All Levels,Business Finance,661,Udemy,
Intro to Financial Modeling,Beginner Level,Business Finance,1077,Udemy,
Shark Accounting - Building a Business by the Numbers!,Beginner Level,Business Finance,6050,Udemy,
Forex Trading MAKE YOUR FIRST TRADE TODAY!,All Levels,Business Finance,3523,Udemy,
Accounting in 60 Minutes - A Brief Introduction,Beginner Level,Business Finance,56659,Udemy,
SAP FICO For Beginners - A Guide to SAP Financial Accounts,Beginner Level,Business Finance,1444,Udemy,
Learn how to double your Forex Trading Account in one trade,Intermediate Level,Business Finance,2900,Udemy,
"Accounting Superpowers: Learn Accounts, Understand Business!",Beginner Level,Business Finance,1437,Udemy,
Python Algo Trading: FX Trading with Oanda,Intermediate Level,Business Finance,453,Udemy,
Save on Your Taxes,All Levels,Business Finance,2437,Udemy,
Financial Model Basics: Build a model from start to finish,Beginner Level,Business Finance,5057,Udemy,
Option Trading for Rookies: The Covered Call Option Strategy,Beginner Level,Business Finance,6092,Udemy,
EFT for Stock Options Trading Success & Making Better Trades,All Levels,Business Finance,4530,Udemy,
Learn to Trade the Stock Market without Blowing Your Profits,All Levels,Business Finance,6967,Udemy,
Get a Credit Repair Publication On Amazon and Live LIFE..,Beginner Level,Business Finance,727,Udemy,
Fundamentals of Accounting,All Levels,Business Finance,1560,Udemy,
"RSI, Options Trading & Technical Analysis (3 Course Bundle)",All Levels,Business Finance,1047,Udemy,
Basics of Mutual Funds for CA / CMA / CS / CFA Exams,Intermediate Level,Business Finance,1045,Udemy,
Accounting 101: How to read an Accounting Balance Sheet,Beginner Level,Business Finance,3050,Udemy,
Stock Options Day Trading Mindset for Success,All Levels,Business Finance,2988,Udemy,
Introduction to bookkeeping and Accounting,Beginner Level,Business Finance,2623,Udemy,
Learn to Trade The News,All Levels,Business Finance,1924,Udemy,
"Value Investing, Taught by Six Superinvestors",All Levels,Business Finance,3804,Udemy,
Trading for everyone - The Independent Investor Course I,Beginner Level,Business Finance,4133,Udemy,
Get Acquired: Learn From The Head Of Acquisitions For eBay,All Levels,Business Finance,1420,Udemy,
Stock Market investment: Practical Accounting,Beginner Level,Business Finance,1120,Udemy,
"How to remove 'Risk from Penny Stocks - Options Trading""",All Levels,Business Finance,668,Udemy,
Accounting Basics in 66 Minutes (absolutely for beginners),All Levels,Business Finance,4086,Udemy,
"Tax Accounting: Difficult Topic, Made Easy to Understand",All Levels,Business Finance,1033,Udemy,
Analysis of Company Financial Statements,All Levels,Business Finance,832,Udemy,
Forex Trading Like Banks – Step by Step with Live Examples,All Levels,Business Finance,677,Udemy,
Fundamentals of Investing!,Beginner Level,Business Finance,3125,Udemy,
Bank Financial Management A Comprehensive Study,All Levels,Business Finance,1081,Udemy,
Learn to Trade Forex and Stocks: From Beginner to Advanced,All Levels,Business Finance,1645,Udemy,
"Master 'Technical Analysis and Chart reading skills Bundle""",All Levels,Business Finance,3348,Udemy,
Naked Put Options Trade Covered Call & Poor Man Covered Call,All Levels,Business Finance,939,Udemy,
The Ultimate Guide to Dividend & Dividend Growth Investing,All Levels,Business Finance,2115,Udemy,
Charting for Beginners 101: Technical Analysis Demystified,All Levels,Business Finance,2230,Udemy,
Build a DCF Valuation Model,All Levels,Business Finance,2053,Udemy,
Introductory Financial Accounting,Beginner Level,Business Finance,1793,Udemy,
Introduction to Cryptocurrencies and Blockchain,Beginner Level,Business Finance,3775,Udemy,
Trade Pullback Candlestick Strategy - Make Consistent Pips,All Levels,Business Finance,521,Udemy,
Accounting Standards Basics (Professional Course Level),All Levels,Business Finance,2222,Udemy,
Use the Magic Multiple Moving Average Forex Trading system,Intermediate Level,Business Finance,1097,Udemy,
QuickBooks 2015 Training for Newbies,Beginner Level,Business Finance,2506,Udemy,
TRADING PSYCHOLOGY: Trading Mindset Mastery,Intermediate Level,Business Finance,975,Udemy,
Option Trading: How to Adjust Delta-Neutral Strangles!,All Levels,Business Finance,1398,Udemy,
Profitable binary option trading strategy,All Levels,Business Finance,1096,Udemy,
Tax Strategy: Financial Planning for Beginners,All Levels,Business Finance,1703,Udemy,
Accounting 2 Simplified for You,Beginner Level,Business Finance,1446,Udemy,
Project Funding Modelling (for Professionals),All Levels,Business Finance,2736,Udemy,
Investing: How I Consistently Beat The Stock Market,All Levels,Business Finance,2000,Udemy,
Bookkeeping Basics:  Understand the Fundamentals,Beginner Level,Business Finance,853,Udemy,
Leasing - A Comprehensive Study (Professional Course Level),All Levels,Business Finance,3094,Udemy,
Trading Options For Consistent Returns: Options Basics,Beginner Level,Business Finance,4077,Udemy,
TechniTrader Leading Hybrid Indicator Trading,Intermediate Level,Business Finance,4117,Udemy,
Financial modeling: Build a DCF equity valuation model,All Levels,Business Finance,1369,Udemy,
CryptoArbitrager: Bitcoin Trading Robot (no mining),All Levels,Business Finance,1224,Udemy,
Accounting Is Easy (for Beginners),All Levels,Business Finance,3870,Udemy,
Non Directional Weekly Options Trading System - ETF & Emini,All Levels,Business Finance,897,Udemy,
The Complete Position Trading Course: Position Trading Stock,All Levels,Business Finance,1311,Udemy,
Master Iron Condors - Double the credit for half the risk,Expert Level,Business Finance,1338,Udemy,
Basics of investing in Mutual Funds,Intermediate Level,Business Finance,1589,Udemy,
A Value Investing Approach to the Stock Market,All Levels,Business Finance,1189,Udemy,
Learn how to INVEST for huge profits or make it big trading!,All Levels,Business Finance,701,Udemy,
"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",Intermediate Level,Business Finance,1105,Udemy,
Mastering Candlestick Charting : High Probability Trading,All Levels,Business Finance,123,Udemy,
Binary Options Course - Level 2,Intermediate Level,Business Finance,5874,Udemy,
Stock Technical Analysis with R,All Levels,Business Finance,354,Udemy,
